,Tenure,WarehouseToHome,NumberOfDeviceRegistered,SatisfactionScore,NumberOfAddress,Complain,DaySinceLastOrder,CashbackAmount,Churn,PreferedOrderCat_Grocery,PreferedOrderCat_Laptop & Accessory,PreferedOrderCat_Mobile Phone,MaritalStatus_Married,MaritalStatus_Single
34,0.0,14.0,4,1,6,0,3.0,123.67,1,False,False,True,True,False
35,0.0,14.0,3,5,4,0,0.0,123.22,0,False,False,True,True,False
36,24.0,31.0,4,3,5,1,6.0,264.73,0,True,False,False,True,False
37,9.0,6.0,4,5,2,0,2.0,122.18,0,False,False,True,True,False
38,0.0,9.0,3,5,2,1,3.0,141.94,0,False,True,False,False,False
39,1.0,7.0,4,1,11,1,3.0,172.87,1,False,False,True,True,False
40,4.0,18.0,3,1,9,1,2.0,139.29,0,False,False,True,True,False
41,18.0,7.0,4,3,4,0,4.0,207.48,0,False,False,False,True,False
42,15.0,7.0,2,5,3,0,8.0,208.92,0,False,False,False,True,False
44,9.0,7.0,4,3,2,0,0.0,120.08,0,False,False,True,True,False
45,4.0,15.0,4,3,7,0,8.0,197.64,0,False,False,False,True,False
46,5.0,9.0,4,1,2,1,3.0,151.95,0,False,False,True,True,False
47,11.0,17.0,2,1,5,0,1.0,171.8,0,False,False,True,False,True
48,24.0,6.0,4,5,4,0,8.0,174.84,0,False,False,False,False,True
49,0.0,6.0,3,3,2,0,7.0,152.96,0,False,True,False,False,False
50,3.0,6.0,3,1,2,0,7.0,140.11,0,False,True,False,False,True
52,16.0,9.0,4,1,4,1,3.0,226.24,0,False,False,False,True,False
53,25.0,10.0,3,2,3,0,4.0,265.55,0,True,False,False,False,False
54,9.0,22.0,4,5,5,0,2.0,156.47,0,False,True,False,True,False
55,8.0,8.0,4,1,11,0,2.0,179.84,0,False,True,False,True,False
56,8.0,33.0,5,3,3,0,1.0,145.29,0,False,False,True,True,False
57,0.0,14.0,4,4,2,0,3.0,123.68,0,False,False,True,True,False
58,17.0,19.0,5,4,3,0,10.0,268.36,0,True,False,False,True,False
59,8.0,26.0,5,1,3,0,8.0,154.29,0,False,False,True,True,False
60,3.0,14.0,3,1,1,0,7.0,125.64,0,False,False,True,False,True
61,0.0,8.0,3,3,2,1,4.0,144.78,0,False,True,False,False,True
62,4.0,32.0,3,3,2,0,3.0,129.11,0,False,False,True,True,False
63,1.0,10.0,4,5,7,0,3.0,165.31,1,False,False,True,True,False
64,1.0,16.0,4,1,3,0,1.0,135.81,1,False,False,True,False,True
65,1.0,31.0,6,1,3,1,1.0,148.4,1,False,False,True,False,True
66,0.0,16.0,3,2,1,0,1.0,149.5,0,False,True,False,False,True
67,1.0,16.0,3,3,4,0,7.0,136.6,0,False,True,False,False,True
68,13.0,21.0,4,3,2,0,12.0,204.35,0,False,False,False,True,False
69,5.0,12.0,4,3,3,0,3.0,208.46,0,False,True,False,True,False
71,0.0,14.0,3,3,2,0,3.0,125.17,0,False,False,True,True,False
72,15.0,13.0,4,3,3,0,3.0,217.41,0,False,False,False,False,True
73,24.0,14.0,4,4,6,0,3.0,224.9,0,False,False,False,False,False
74,8.0,16.0,5,4,3,0,3.0,211.21,0,False,False,False,False,True
75,14.0,14.0,3,4,6,0,4.0,143.93,0,False,True,False,True,False
76,5.0,15.0,5,1,1,0,7.0,146.68,0,False,True,False,True,False
77,9.0,11.0,4,3,3,1,2.0,167.49,0,False,True,False,False,True
78,1.0,31.0,4,2,2,0,2.0,149.0,0,False,False,True,False,False
79,0.0,6.0,3,4,1,1,4.0,163.49,0,False,True,False,False,False
80,7.0,8.0,3,5,1,1,2.0,145.38,0,False,True,False,False,True
81,6.0,12.0,4,4,3,0,4.0,190.24,0,False,True,False,True,False
82,1.0,10.0,4,1,3,1,1.0,140.69,1,False,False,True,False,True
83,9.0,18.0,4,2,1,0,8.0,188.58,0,False,False,False,False,True
84,8.0,11.0,4,1,4,1,3.0,222.13,0,False,False,False,True,False
85,9.0,6.0,3,1,4,0,2.0,122.7,0,False,False,True,True,False
86,11.0,22.0,3,4,3,0,2.0,141.98,0,False,True,False,False,True
87,4.0,10.0,4,1,6,0,5.0,145.97,0,False,False,True,True,False
88,25.0,10.0,4,4,5,0,1.0,262.34,0,True,False,False,False,True
89,2.0,19.0,4,4,5,1,3.0,140.25,0,False,True,False,True,False
91,18.0,10.0,5,3,5,0,3.0,197.56,0,False,False,False,True,False
92,19.0,32.0,4,4,9,0,2.0,179.91,0,False,True,False,False,True
93,9.0,15.0,3,1,4,0,3.0,120.75,0,False,False,True,True,False
94,8.0,23.0,3,5,4,1,7.0,189.66,0,False,True,False,True,False
95,0.0,30.0,1,5,2,0,0.0,110.91,1,False,False,True,False,True
96,8.0,32.0,3,1,2,1,7.0,188.37,0,False,False,False,False,True
97,4.0,15.0,2,5,2,1,8.0,239.16000000000005,0,False,False,False,True,False
98,0.0,35.0,4,3,2,0,8.0,145.08,1,False,True,False,False,True
99,2.0,23.0,4,5,2,0,9.0,179.88,0,False,False,False,False,True
100,4.0,8.0,5,1,5,1,0.0,127.78,1,False,False,True,True,False
102,19.0,14.0,3,3,9,0,8.0,123.39,1,False,False,True,True,False
103,14.0,7.0,6,1,4,1,3.0,199.57,0,False,True,False,True,False
105,5.0,11.0,3,4,2,0,3.0,165.24,0,False,True,False,True,False
106,1.0,14.0,2,5,2,0,8.0,160.78,0,False,False,True,False,True
107,8.0,14.0,3,3,2,0,0.0,124.04,0,False,False,True,True,False
108,21.0,11.0,4,3,5,0,1.0,154.76,0,False,True,False,False,True
109,1.0,7.0,5,3,8,1,3.0,153.0,1,False,False,True,True,False
110,24.0,12.0,4,3,1,0,7.0,128.38,0,False,False,True,False,True
111,14.0,16.0,3,1,8,0,10.0,162.3,0,False,True,False,False,True
112,13.0,14.0,3,1,9,0,0.0,124.06,0,False,False,True,True,False
113,0.0,10.0,3,3,2,1,3.0,141.62,0,False,True,False,False,False
114,21.0,10.0,4,3,11,1,14.0,262.7,0,True,False,False,True,False
115,29.0,9.0,5,1,10,0,5.0,151.62,0,False,False,True,True,False
116,7.0,14.0,3,5,4,0,0.0,151.21,0,False,True,False,True,False
117,14.0,15.0,4,5,4,1,1.0,190.16,0,False,True,False,True,False
118,5.0,9.0,6,1,6,1,1.0,152.78,1,False,False,True,True,False
119,5.0,14.0,5,3,5,0,3.0,148.29,0,False,False,True,True,False
120,2.0,15.0,5,2,3,0,5.0,174.36,0,False,False,True,True,False
121,3.0,7.0,6,2,3,0,9.0,152.2,0,False,False,True,True,False
123,11.0,20.0,3,4,1,0,7.0,199.24,0,False,True,False,True,False
124,6.0,6.0,1,3,5,0,5.0,261.84,0,True,False,False,True,False
125,2.0,15.0,5,1,3,0,5.0,174.36,0,False,False,True,True,False
126,1.0,9.0,4,4,6,0,3.0,146.87,0,False,False,True,True,False
127,14.0,15.0,3,3,4,1,7.0,181.89,0,False,False,False,True,False
129,3.0,11.0,4,2,10,0,3.0,137.61,0,False,False,True,True,False
130,26.0,9.0,5,2,9,0,3.0,157.12,0,False,False,True,False,True
131,1.0,20.0,5,5,7,1,3.0,186.34,1,False,True,False,True,False
132,5.0,16.0,3,1,9,0,0.0,146.48,0,False,True,False,False,True
133,13.0,14.0,3,5,3,1,0.0,165.16,0,False,True,False,True,False
134,4.0,8.0,3,2,5,1,5.0,165.82,0,False,True,False,False,True
135,0.0,14.0,3,2,1,0,1.0,124.0,0,False,False,True,False,False
136,1.0,32.0,5,4,6,1,3.0,148.13,1,False,False,True,False,True
138,0.0,26.0,5,3,4,1,2.0,145.59,1,False,True,False,False,False
139,9.0,8.0,4,3,7,1,0.0,120.9,1,False,False,True,False,True
140,17.0,11.0,5,2,5,0,3.0,227.31,0,False,False,False,False,True
141,26.0,15.0,4,5,11,0,5.0,154.5,0,False,False,True,False,False
142,5.0,25.0,1,3,7,1,2.0,127.59,1,False,False,True,True,False
143,0.0,14.0,4,3,2,0,2.0,125.39,0,False,False,True,False,False
144,19.0,6.0,3,5,2,0,7.0,204.53,0,False,False,False,True,False
145,8.0,14.0,4,5,2,0,2.0,124.5,0,False,False,True,False,True
146,9.0,12.0,3,3,3,1,5.0,123.06,0,False,True,False,True,False
147,9.0,9.0,3,1,2,0,0.0,117.06,0,False,False,True,True,False
148,1.0,20.0,5,5,6,1,1.0,148.35,1,False,False,True,True,False
149,9.0,13.0,3,2,3,0,1.0,146.78,0,False,False,True,False,True
150,1.0,10.0,4,3,3,0,8.0,165.84,1,False,False,True,False,True
151,8.0,11.0,4,3,11,0,3.0,190.38,0,False,True,False,False,False
152,26.0,7.0,4,3,5,1,3.0,229.65,0,True,False,False,True,False
153,2.0,16.0,4,3,7,0,3.0,148.77,0,False,False,True,True,False
154,9.0,22.0,3,3,2,0,4.0,121.44,0,False,False,True,False,True
155,4.0,14.0,4,3,3,0,10.0,159.91,0,False,True,False,True,False
157,1.0,12.0,4,4,3,1,3.0,149.78,0,False,False,True,False,True
158,9.0,23.0,4,3,6,1,1.0,201.32,0,False,False,False,True,False
159,2.0,26.0,3,1,2,0,10.0,138.12,0,False,False,True,True,False
160,10.0,14.0,3,4,3,0,7.0,140.71,0,False,True,False,True,False
161,1.0,14.0,5,3,4,0,1.0,186.32,0,False,True,False,False,False
162,23.0,14.0,3,1,5,0,0.0,123.8,0,False,False,True,True,False
164,26.0,13.0,4,1,8,1,3.0,209.34,0,False,False,False,True,False
165,11.0,16.0,3,3,4,0,2.0,160.77,0,False,True,False,True,False
167,14.0,12.0,5,5,7,1,3.0,229.75,0,False,False,False,False,False
168,4.0,11.0,3,5,1,0,7.0,199.36,0,False,True,False,False,True
170,7.0,10.0,3,3,10,0,2.0,165.38,0,False,True,False,True,False
172,8.0,29.0,5,1,3,1,12.0,182.47,0,False,True,False,True,False
173,1.0,16.0,6,4,3,0,3.0,152.6,1,False,False,True,False,True
174,17.0,31.0,4,5,8,1,3.0,229.48,1,False,False,False,False,True
175,27.0,13.0,4,3,4,1,6.0,148.06,0,False,True,False,False,False
176,16.0,7.0,5,2,11,1,3.0,185.62,0,False,True,False,False,False
177,16.0,9.0,4,1,3,0,3.0,165.89,0,False,True,False,True,False
178,9.0,13.0,3,3,2,0,0.0,112.74,0,False,False,True,True,False
179,10.0,33.0,4,3,8,0,3.0,178.47,0,False,True,False,True,False
180,10.0,30.0,2,1,6,0,4.0,150.71,0,False,True,False,True,False
182,0.0,24.0,1,3,3,0,2.0,162.32,0,False,True,False,False,False
183,12.0,16.0,3,5,3,0,7.0,153.77,0,False,True,False,True,False
184,6.0,17.0,4,1,10,0,1.0,171.48,0,False,True,False,False,True
185,11.0,18.0,4,5,3,0,2.0,162.88,0,False,True,False,True,False
186,6.0,7.0,5,4,2,0,3.0,147.69,0,False,False,True,True,False
187,4.0,6.0,3,5,2,0,3.0,141.48,0,False,True,False,True,False
188,17.0,9.0,4,1,2,0,9.0,160.39,0,False,False,True,False,True
189,7.0,21.0,3,2,2,0,5.0,179.78,1,False,False,False,False,False
190,8.0,15.0,4,5,7,0,3.0,190.0,0,False,True,False,True,False
191,15.0,9.0,5,3,4,1,8.0,193.11,0,False,True,False,False,True
193,16.0,14.0,3,4,5,0,0.0,147.65,0,False,True,False,True,False
195,3.0,12.0,4,1,5,0,1.0,145.86,1,False,True,False,True,False
196,11.0,7.0,5,5,4,0,3.0,164.2,0,False,False,True,False,False
197,0.0,5.0,4,3,2,0,2.0,130.33,0,False,False,True,False,True
198,20.0,9.0,4,1,5,0,3.0,210.78,0,False,False,False,True,False
199,11.0,11.0,4,3,9,1,4.0,154.96,0,False,False,True,False,False
200,0.0,22.0,3,5,3,1,0.0,185.64,1,False,False,False,False,True
201,10.0,13.0,2,1,5,0,1.0,155.38,0,False,False,True,True,False
202,1.0,22.0,4,3,3,0,3.0,151.1,1,False,False,True,True,False
203,9.0,24.0,4,5,5,1,3.0,214.66,0,False,True,False,True,False
204,1.0,6.0,4,1,2,1,7.0,168.34,0,False,True,False,True,False
205,9.0,9.0,4,1,4,0,8.0,182.62,0,False,True,False,True,False
206,2.0,10.0,4,4,3,0,1.0,153.56,0,False,False,True,True,False
208,12.0,23.0,4,4,4,0,3.0,166.98,0,False,True,False,False,True
209,8.0,22.0,3,3,5,1,0.0,176.32,0,False,False,False,True,False
210,22.0,26.0,3,5,2,0,11.0,165.67,0,False,True,False,True,False
211,8.0,33.0,3,3,3,0,7.0,168.83,0,False,True,False,True,False
213,9.0,9.0,4,3,2,0,0.0,112.81,0,False,False,True,False,False
214,20.0,20.0,3,4,9,0,7.0,154.67,0,False,True,False,True,False
215,0.0,10.0,3,2,2,1,2.0,128.75,0,False,False,True,False,True
216,28.0,24.0,4,3,10,0,9.0,232.39,0,False,False,False,True,False
219,7.0,9.0,5,1,6,0,2.0,160.29,0,False,True,False,False,True
220,1.0,28.0,4,3,3,0,1.0,148.77,1,False,False,True,True,False
221,9.0,16.0,3,3,2,1,0.0,122.2,0,False,False,True,False,False
222,9.0,14.0,4,4,2,1,7.0,121.33,0,False,True,False,True,False
223,4.0,8.0,4,5,4,0,0.0,164.1,0,False,True,False,False,False
224,25.0,13.0,5,3,2,0,8.0,153.38,0,False,False,True,False,True
225,14.0,33.0,4,5,3,0,6.0,208.96,0,False,True,False,True,False
226,4.0,9.0,4,4,3,0,1.0,149.76,0,False,False,True,False,False
227,18.0,15.0,4,3,2,0,12.0,155.93,0,False,True,False,False,False
228,10.0,10.0,5,1,6,0,3.0,221.99,0,False,False,False,True,False
229,18.0,27.0,4,4,3,0,4.0,159.2,0,False,False,True,False,True
230,11.0,17.0,4,4,4,1,2.0,166.97,0,False,True,False,False,True
231,8.0,18.0,5,4,6,0,9.0,169.9,0,False,True,False,True,False
232,22.0,14.0,3,5,5,1,2.0,125.87,0,False,False,True,True,False
233,4.0,27.0,4,5,2,0,3.0,224.57,0,False,True,False,True,False
234,0.0,11.0,4,2,2,1,3.0,228.08,0,False,False,False,True,False
236,13.0,11.0,4,3,2,0,9.0,175.42,0,False,True,False,False,True
238,0.0,17.0,1,3,9,0,2.0,147.07,1,False,True,False,True,False
239,1.0,25.0,2,5,2,0,1.0,154.56,1,False,False,True,True,False
240,1.0,14.0,4,4,3,1,1.0,149.72,1,False,False,True,False,True
242,4.0,11.0,3,1,1,1,3.0,148.21,0,False,False,True,True,False
243,1.0,7.0,3,5,2,0,2.0,135.91,0,False,False,True,True,False
244,8.0,22.0,4,4,1,1,2.0,147.88,0,False,True,False,True,False
245,13.0,15.0,3,3,4,0,7.0,139.75,0,False,True,False,True,False
246,1.0,16.0,4,4,3,0,4.0,147.79,0,False,False,True,False,True
247,25.0,17.0,3,3,9,0,4.0,131.49,0,False,True,False,False,False
248,19.0,11.0,6,3,6,0,3.0,222.56,0,False,False,False,True,False
249,24.0,17.0,5,1,8,0,3.0,229.96,0,False,False,False,False,True
250,0.0,22.0,5,5,2,1,7.0,139.19,1,False,False,True,False,True
251,15.0,35.0,5,4,2,0,11.0,260.7,0,True,False,False,True,False
252,7.0,16.0,3,3,2,1,7.0,140.01,0,False,True,False,True,False
254,11.0,6.0,4,5,5,0,0.0,128.58,0,False,False,True,False,True
255,24.0,7.0,4,3,2,0,14.0,188.47,0,False,True,False,True,False
257,15.0,12.0,3,5,10,0,7.0,233.48,0,False,False,False,True,False
258,15.0,11.0,4,3,2,1,3.0,229.47,0,False,False,False,True,False
259,4.0,14.0,3,1,2,0,8.0,144.24,0,False,True,False,False,True
260,9.0,12.0,4,3,1,0,3.0,121.87,0,False,False,True,True,False
261,0.0,8.0,4,1,8,0,0.0,127.85,1,False,False,True,False,True
262,7.0,6.0,1,1,3,0,3.0,132.8,0,False,False,True,False,True
263,2.0,11.0,4,3,3,0,5.0,167.21,0,False,True,False,True,False
264,9.0,34.0,5,5,3,0,2.0,150.59,0,False,False,True,False,True
265,4.0,8.0,3,3,1,0,2.0,130.67,0,False,False,True,True,False
266,10.0,18.0,5,1,6,0,1.0,191.52,0,False,True,False,True,False
267,9.0,26.0,3,3,5,0,0.0,122.59,0,False,False,True,False,False
268,7.0,32.0,4,3,3,0,2.0,170.39,0,False,True,False,False,False
269,1.0,7.0,6,4,9,1,8.0,147.16,1,False,False,True,False,True
270,0.0,9.0,4,1,2,1,7.0,203.25,1,False,False,False,True,False
271,19.0,11.0,4,4,3,0,9.0,169.47,0,False,True,False,False,False
273,4.0,9.0,5,5,2,0,8.0,174.68,0,False,False,True,False,True
274,16.0,36.0,4,3,4,0,3.0,170.56,0,False,True,False,True,False
275,0.0,12.0,3,5,3,0,3.0,129.6,1,False,False,True,False,True
278,15.0,7.0,4,5,2,0,8.0,166.03,0,False,True,False,True,False
279,6.0,9.0,4,3,6,1,8.0,174.98,0,False,True,False,False,True
280,6.0,15.0,4,2,3,0,3.0,214.98,0,False,False,False,False,True
282,6.0,13.0,3,3,1,0,3.0,216.91000000000005,0,False,False,False,False,False
283,5.0,14.0,5,3,5,0,3.0,148.29,0,False,False,True,False,False
284,1.0,27.0,3,2,2,0,2.0,127.13,0,False,False,True,False,False
285,7.0,9.0,4,1,3,0,5.0,180.05,0,False,True,False,True,False
286,9.0,28.0,3,3,5,1,1.0,121.32,1,False,False,True,True,False
287,1.0,13.0,4,1,3,1,3.0,81.0,0,False,False,True,True,False
288,2.0,23.0,3,5,2,0,8.0,181.61,0,False,True,False,False,True
290,16.0,19.0,4,4,10,0,5.0,152.66,0,False,False,True,True,False
291,19.0,9.0,1,5,3,0,8.0,232.25,0,True,False,False,True,False
292,16.0,14.0,2,4,8,1,1.0,148.72,0,False,True,False,True,False
293,11.0,9.0,3,2,9,1,0.0,168.61,0,False,True,False,False,True
294,10.0,21.0,4,1,2,1,12.0,190.86,0,False,True,False,True,False
297,1.0,31.0,2,5,3,0,1.0,135.91,1,False,False,True,False,True
299,13.0,32.0,3,4,2,0,13.0,156.05,0,False,True,False,True,False
300,0.0,6.0,3,4,2,1,4.0,132.02,1,False,False,True,False,True
301,19.0,13.0,3,3,3,0,0.0,152.58,0,False,True,False,True,False
302,8.0,14.0,4,1,2,0,2.0,123.76,0,False,False,True,True,False
303,25.0,14.0,3,5,10,0,4.0,129.5,0,False,False,True,True,False
304,10.0,17.0,4,2,3,0,3.0,224.8,0,False,False,False,False,True
305,1.0,7.0,6,4,8,0,1.0,192.35,1,False,True,False,False,True
306,19.0,14.0,3,3,6,0,3.0,189.34,0,False,True,False,False,False
307,6.0,31.0,3,3,2,0,1.0,145.39,0,False,True,False,True,False
308,1.0,32.0,4,5,2,0,4.0,147.24,0,False,True,False,True,False
309,16.0,12.0,4,3,6,0,1.0,145.93,0,False,False,True,True,False
310,9.0,13.0,4,3,2,1,3.0,160.06,0,False,False,True,False,False
311,1.0,26.0,3,2,10,1,5.0,178.04,1,False,True,False,False,True
312,7.0,9.0,4,2,2,0,3.0,150.0,0,False,False,True,False,True
313,1.0,25.0,2,3,4,0,3.0,187.32,0,False,True,False,False,False
314,8.0,17.0,4,3,3,1,1.0,147.2,0,False,False,True,False,False
315,9.0,21.0,3,1,2,0,0.0,112.32,0,False,False,True,False,True
316,17.0,9.0,5,1,2,0,3.0,226.69,1,False,False,False,True,False
317,9.0,15.0,4,3,2,0,8.0,122.06,0,False,False,True,False,True
318,7.0,12.0,5,1,3,0,3.0,154.11,0,False,False,True,True,False
319,16.0,16.0,4,1,3,0,9.0,161.73,0,False,False,True,False,True
320,3.0,16.0,4,3,2,0,4.0,165.78,0,False,True,False,True,False
321,11.0,8.0,3,1,6,1,2.0,139.44,0,False,False,True,False,True
322,11.0,14.0,3,5,4,0,0.0,126.19,0,False,False,True,False,True
323,13.0,11.0,4,5,6,1,12.0,204.75,0,False,False,False,False,False
325,11.0,12.0,5,1,8,1,9.0,153.29,0,False,True,False,True,False
326,7.0,15.0,4,3,4,1,1.0,188.88,0,False,True,False,False,True
327,6.0,12.0,5,4,5,0,6.0,183.78,0,False,True,False,True,False
328,11.0,10.0,3,3,8,0,0.0,133.06,0,False,False,True,True,False
329,15.0,32.0,3,5,4,1,0.0,231.91000000000005,0,False,False,False,True,False
330,13.0,35.0,5,5,5,0,4.0,167.84,1,False,True,False,False,True
331,6.0,12.0,4,4,4,0,8.0,152.18,0,False,False,True,False,True
332,7.0,8.0,3,1,2,0,4.0,162.74,0,False,True,False,False,True
333,0.0,13.0,5,3,2,1,6.0,160.74,1,False,True,False,False,True
334,16.0,9.0,5,2,5,0,1.0,192.81,0,False,True,False,False,True
335,5.0,17.0,4,1,4,1,5.0,190.83,0,False,True,False,True,False
336,19.0,8.0,3,1,5,1,3.0,203.68,0,False,False,False,True,False
338,0.0,13.0,4,5,9,0,7.0,168.11,0,False,True,False,False,True
339,20.0,31.0,4,1,3,0,1.0,150.87,1,False,False,True,False,True
340,8.0,7.0,4,4,3,0,4.0,168.25,0,False,True,False,True,False
341,12.0,8.0,4,1,9,0,4.0,152.04,0,False,True,False,True,False
342,1.0,8.0,4,3,3,0,2.0,137.23,0,False,False,True,True,False
343,4.0,13.0,3,5,3,0,2.0,196.37,0,False,False,False,True,False
344,9.0,7.0,5,5,3,0,3.0,149.5,0,False,False,True,False,True
345,12.0,16.0,5,4,2,0,3.0,153.99,0,False,False,True,False,False
346,25.0,7.0,4,2,3,0,1.0,152.23,0,False,False,True,False,False
347,6.0,14.0,4,1,6,0,3.0,217.04,0,False,True,False,True,False
349,7.0,8.0,1,1,1,1,2.0,129.32,0,False,False,True,True,False
350,9.0,31.0,5,3,2,0,1.0,122.93,1,False,False,True,False,True
351,7.0,12.0,3,3,2,0,10.0,148.09,0,False,True,False,False,True
352,3.0,16.0,3,3,10,0,2.0,196.67,0,False,False,False,False,True
353,0.0,9.0,3,5,1,0,4.0,131.02,1,False,False,True,False,True
354,1.0,13.0,2,5,3,1,1.0,141.01,1,False,False,True,True,False
355,13.0,8.0,3,4,4,0,10.0,156.77,0,False,True,False,True,False
356,0.0,8.0,3,4,10,0,2.0,134.68,0,False,False,True,True,False
357,9.0,30.0,3,4,2,0,4.0,121.77,0,False,False,True,False,True
358,17.0,11.0,4,3,4,0,3.0,131.62,0,False,False,True,False,True
360,0.0,14.0,5,3,1,0,0.0,123.51,1,False,False,True,True,False
361,14.0,15.0,4,1,5,1,3.0,165.69,0,False,True,False,True,False
362,1.0,7.0,5,3,7,0,3.0,231.09,1,False,False,False,True,False
364,0.0,15.0,4,5,8,0,3.0,134.07,1,False,False,True,False,True
365,20.0,33.0,5,4,10,0,3.0,204.91,0,False,True,False,False,True
366,17.0,16.0,3,1,3,1,3.0,164.65,0,False,True,False,True,False
367,17.0,35.0,2,3,6,0,3.0,172.39,0,False,False,True,False,True
368,1.0,17.0,4,3,8,0,3.0,225.48,1,False,False,False,True,False
369,16.0,12.0,4,4,11,1,3.0,209.46,1,False,False,False,False,True
370,0.0,10.0,5,2,2,0,8.0,204.0,1,False,False,False,False,False
371,1.0,17.0,5,3,3,0,3.0,151.25,1,False,False,True,False,True
372,0.0,6.0,3,4,2,0,4.0,138.16,0,False,False,True,True,False
374,21.0,21.0,4,5,4,0,8.0,174.6,0,False,True,False,False,True
376,23.0,7.0,4,5,4,0,3.0,160.8,0,False,False,True,True,False
377,13.0,15.0,3,3,10,0,13.0,234.99,0,False,False,False,False,True
378,6.0,13.0,4,3,5,0,5.0,155.38,0,False,False,True,False,True
379,4.0,14.0,4,5,5,1,4.0,146.66,1,False,False,True,False,True
380,9.0,6.0,3,4,2,0,1.0,120.96,0,False,False,True,False,True
381,5.0,9.0,5,5,5,0,1.0,189.1,0,False,True,False,False,False
382,6.0,15.0,5,3,9,0,3.0,153.46,1,False,True,False,False,True
383,3.0,10.0,4,4,2,1,7.0,152.09,0,False,True,False,True,False
384,5.0,14.0,1,3,6,0,3.0,151.75,0,False,True,False,False,False
385,1.0,6.0,5,3,3,0,3.0,155.33,0,False,False,True,False,True
386,11.0,17.0,4,5,2,1,4.0,152.82,0,False,False,True,True,False
387,10.0,25.0,3,4,2,1,9.0,176.42,0,False,False,False,False,True
389,11.0,14.0,4,4,2,0,3.0,124.4,0,False,False,True,False,True
390,1.0,10.0,4,5,2,0,5.0,156.02,1,False,False,True,False,True
391,27.0,13.0,4,1,4,0,3.0,149.5,0,False,True,False,False,True
392,5.0,16.0,3,1,2,0,8.0,153.96,0,False,True,False,False,True
393,17.0,6.0,4,3,5,0,2.0,159.85,0,False,True,False,False,True
394,28.0,14.0,4,4,2,1,0.0,235.77,0,True,False,False,True,False
395,6.0,17.0,4,1,3,0,9.0,178.96,0,False,True,False,False,True
396,1.0,7.0,5,4,3,0,1.0,153.36,0,False,False,True,False,True
397,3.0,28.0,3,5,1,0,8.0,184.12,0,False,False,False,True,False
398,9.0,23.0,5,3,2,0,2.0,123.05,0,False,False,True,True,False
399,16.0,12.0,4,2,5,1,0.0,266.27,0,True,False,False,True,False
400,14.0,9.0,5,3,4,0,3.0,153.09,0,False,False,True,False,True
401,13.0,8.0,3,5,5,0,2.0,133.77,0,False,False,True,True,False
402,9.0,12.0,5,3,2,0,7.0,127.41,0,False,False,True,True,False
403,17.0,8.0,3,3,6,1,2.0,202.09,0,False,False,False,False,True
404,16.0,12.0,4,1,5,1,0.0,266.27,0,True,False,False,True,False
